Time,LorR,Question,Character,Answer_State,Answer_Time
20.27942,left,3,L,correct,0.8262634
24.16089,right,4,R,correct,0.7750359
28.82982,left,5,L,correct,0.6605034
32.63597,right,2,R,correct,1.023476
36.39369,left,1,L,correct,0.849247
39.97051,left,6,L,correct,0.7417603
44.61122,right,1,R,correct,0.799511
48.20607,left,4,L,correct,0.7600021
51.62367,right,6,R,correct,1.114052
57.5302,right,3,R,correct,0.947258
62.86127,right,5,R,correct,1.078728
67.84885,left,2,L,correct,0.7321625
73.88747,left,3,L,correct,1.095711
78.74736,left,1,L,correct,0.5859146
83.52713,left,2,L,correct,0.4704437
86.80796,right,5,R,correct,0.9893188
91.27741,left,4,L,correct,0.6656647
96.12951,right,6,L,character_mistake,0.886116
100.8875,right,2,R,correct,0.9931183
106.7095,left,1,L,correct,0.8153381
110.9446,left,4,L,correct,0.6432648
114.1604,left,3,L,correct,1.06958
118.1938,left,5,L,correct,1.133255
123.7599,right,6,R,correct,0.7397003
127.1574,left,6,L,correct,0.8898926
130.3726,right,4,R,correct,0.9102325
