Time,LorR,Question,Character,Answer_State,Answer_Time
93.52267,right,2,R,correct,1.197159
96.3636,left,4,L,correct,0.7021942
99.79164,left,2,L,correct,0.891037
104.2675,left,3,L,correct,0.9381104
109.358,right,5,L,character_mistake,0.939209
113.0794,left,6,L,correct,0.9350586
116.4324,right,1,R,correct,0.9840393
122.054,right,2,R,correct,0.6400452
126.0842,right,5,R,correct,1.237106
130.0428,left,1,L,correct,0.9332886
133.7588,right,6,R,correct,0.5401917
137.4594,right,3,R,correct,0.7294617
141.6422,right,4,R,correct,0.6947937
144.4335,right,3,R,correct,0.6499634
149.9038,left,1,L,correct,0.5597382
154.4773,right,6,R,correct,0.8739777
159.6449,left,5,L,correct,0.9868011
164.5719,right,4,R,correct,0.7640686
168.5354,right,2,R,correct,0.569046
171.8053,right,2,R,correct,0.6743164
176.3887,left,1,L,correct,1.797958
