Time,LorR,Question,Character,Answer_State,Answer_Time
41.76664,left,3,L,correct,1.007866
47.20578,right,6,R,correct,0.9526215
50.16353,left,5,L,correct,0.8743134
54.49623,left,1,L,correct,1.036278
58.45333,right,2,R,correct,0.6608963
62.88073,right,4,R,correct,1.175346
67.46162,right,1,R,correct,1.955902
72.34344,left,2,L,correct,0.8335724
76.60486,right,3,R,correct,1.126312
89.20154,right,6,L,character_mistake,1.498764
89.55598,left,9999,xx,irrelevant_answer,9999
92.29175,right,6,R,correct,1.060974
96.09659,left,3,L,correct,1.389755
99.64906,left,1,L,correct,1.288605
102.4725,right,5,R,correct,0.7198639
108.0989,right,4,R,correct,0.6430511
112.4744,right,9999,xxx,irrelevant_answer,9999
116.4031,right,3,R,correct,0.6416168
122.0293,right,6,R,correct,0.6275177
127.1464,right,1,R,correct,1.016876
130.9561,right,4,R,correct,0.7417297
135.1191,left,5,L,correct,0.7521515
139.0165,left,2,L,correct,0.6826782
140.986,left,9999,xx,irrelevant_answer,9999
143.4341,left,1,L,correct,0.6692657
154.2021,right,5,R,correct,0.6470032
157.6054,left,4,L,correct,0.8209686
162.5328,left,6,L,correct,0.6511841
165.5908,left,3,L,correct,0.8385773
169.5299,left,1,L,correct,0.6962128
174.0784,left,5,L,correct,0.6382599
184.4513,left,4,L,correct,1.116196
187.4888,left,2,L,correct,0.8515472
192.0154,left,3,R,character_mistake,0.4866028
197.0033,right,5,R,correct,1.818512
201.3182,left,4,L,correct,1.46994
204.1855,right,1,R,correct,0.6987915
207.1428,left,3,L,correct,0.6877441
210.1808,left,6,L,correct,0.9596863
214.5207,left,2,L,correct,0.9447937
219.9432,right,3,R,correct,0.8518372
222.7277,left,5,L,correct,0.7229004
227.0698,left,4,R,character_mistake,0.742981
230.5462,right,6,R,correct,0.8899841
231.1123,right,9999,xxx,irrelevant_answer,9999
236.1888,left,1,L,correct,0.8626404
242.5975,right,2,R,correct,1.761047
246.5321,right,4,R,correct,1.15683
250.4858,left,3,L,correct,1.044617
254.7708,left,1,L,correct,0.9715271
260.1831,right,2,R,correct,0.9841919
263.1415,left,5,L,correct,0.9015198
267.2965,left,6,L,correct,1.232544
270.196,right,5,R,correct,0.825531
274.6062,right,4,R,correct,0.6245728
279.001,right,6,R,correct,0.478363
282.5316,right,1,L,character_mistake,0.6648865
282.661,left,9999,xx,irrelevant_answer,9999
287.3978,right,2,R,correct,1.368164
292.3708,right,3,L,character_mistake,0.7658081
292.5202,left,9999,xx,irrelevant_answer,9999
296.301,left,2,L,correct,1.135529
299.8832,right,3,R,correct,0.7663879
302.8493,left,5,L,correct,0.6341553
302.8506,right,9999,xxx,irrelevant_answer,9999
313.5483,right,1,R,correct,1.422394
317.4688,left,6,L,correct,0.9924622
320.5641,right,2,R,correct,0.672699
325.2227,left,4,L,correct,0.7579956
329.3651,left,3,L,correct,0.579834
332.3611,right,1,R,correct,0.7076721
336.3135,left,6,R,character_mistake,0.3968201
336.5542,right,9999,xxx,irrelevant_answer,9999
340.0728,right,5,R,correct,0.6304321
343.973,left,2,L,correct,1.067657
348.1424,left,4,L,correct,0.6511841
350.8616,right,3,R,correct,0.6520081
355.4104,left,1,L,correct,0.5
