Time,LorR,Question,Character,Answer_State,Answer_Time
168.8239,right,3,R,correct,1.130951
173.8042,right,6,L,character_mistake,0.7814636
173.9199,left,9999,xx,irrelevant_answer,9999
177.1339,left,2,L,correct,1.129608
180.9756,left,1,R,character_mistake,0.5709076
181.2071,right,9999,xxx,irrelevant_answer,9999
186.6978,left,5,L,correct,0.8585358
205.467,left,3,L,correct,0.7000122
210.1393,right,1,R,correct,0.5549927
215.0982,right,2,R,correct,0.7482452
218.2695,left,5,L,correct,0.9716644
223.0887,right,4,R,correct,0.7511292
227.0598,right,5,R,correct,0.5977936
230.1738,right,3,R,correct,0.9496918
234.304,right,2,R,correct,0.7163849
239.9519,right,6,R,correct,1.514069
245.3247,right,1,R,correct,0.963623
249.4427,right,4,L,character_mistake,0.8346252
253.6011,left,5,L,correct,0.9995422
257.5446,left,6,L,correct,0.7466431
260.5198,right,4,R,correct,0.8452148
265.3933,left,2,L,correct,0.6994629
268.3074,left,3,L,correct,0.6083374
273.9896,left,1,L,correct,0.7587891
279.0754,right,2,R,correc
